freq,age,unit,sex,geo,time,value
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2023,12.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2024,11.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2025,10.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2014,10.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2015,10.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2016,10.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2017,9.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2018,9.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2019,8.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2020,8.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2021,7.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2022,7.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2023,7.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2024,7.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,2025,7.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2014,17.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2015,16.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2016,13.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2017,11.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2018,8.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2019,6.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2020,7.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2021,7.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2022,6.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2023,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2024,5.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,2025,4.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2014,12.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2015,12.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2016,11.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2017,11.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2018,10.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2019,9.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2020,9.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2021,9.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2022,8.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2023,7.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2024,6.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Italy,2025,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2014,16.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2015,15.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2016,13.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2017,11.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2018,8.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2019,7.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2020,7.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2021,7.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2022,6.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2023,5.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2024,4.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2025,4.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2014,10.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2015,9.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2016,9.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2017,8.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2018,7.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2019,6.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2020,8.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2021,7.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2022,6.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2023,6.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2024,6.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Latvia,2025,6.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2014,10.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2015,9.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2016,7.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2017,7.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2018,6.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2019,6.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2020,8.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2021,7.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2022,6.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2023,6.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2024,7.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Lithuania,2025,6.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2014,5.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2015,6.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2016,6.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2017,5.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2018,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2019,5.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2020,6.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2021,5.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2022,4.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2023,5.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2024,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Luxembourg,2025,6.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2014,7.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2015,6.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2016,5.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2017,4.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2018,3.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2019,3.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2020,4.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2021,4.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2022,3.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2023,4.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2024,4.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Hungary,2025,4.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2014,5.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2015,5.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2016,4.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2017,4.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2018,4.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2019,4.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2020,4.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2021,3.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2022,3.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2023,3.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2024,3.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Malta,2025,3.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2014,8.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2015,7.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2016,7.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2017,5.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2018,4.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2019,4.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2020,4.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2021,4.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2022,3.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2023,3.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2024,3.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Netherlands,2025,3.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2014,6.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2015,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,2016,6.5
