rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Total,Total,Hungary,2015,15.5,Total,Age in completed years,58344.0,Total,Total,8.5,11520.0,107.9,Percentage of total population,4.1,442.39,47231.99999999999,917.1500000000001
Total,Total,Hungary,2016,16.9,Total,Age in completed years,53618.0,Total,Total,8.8,11850.0,107.6,Percentage of total population,3.1,333.56,36735.0,946.88
Total,Total,Hungary,2017,15.9,Total,Age in completed years,68070.0,Total,Total,10.7,12380.0,107.3,Percentage of total population,2.6,278.98,32188.0,1148.11
Total,Total,Hungary,2018,7.5,Total,Age in completed years,82937.0,Total,Total,9.6,13100.0,107.1,Percentage of total population,2.3,246.32999999999996,30129.999999999996,1028.1599999999999
Total,Total,Hungary,2019,7.9,Total,Age in completed years,88581.0,Total,Total,3.9,13780.0,107.1,Percentage of total population,2.1,224.91,28938.0,417.68999999999994
Total,Total,Hungary,2020,7.6,Total,Age in completed years,75470.0,Total,Total,3.7,13210.0,107.1,Percentage of total population,2.7,289.17,35667.0,396.27
Total,Total,Hungary,2023,5.3,Total,Age in completed years,96192.0,Total,Total,7.3,14760.0,105.1,Percentage of total population,2.8,294.28,41328.0,767.2299999999999
Total,Total,Malta,2014,1.3,Total,Age in completed years,15928.0,Total,Total,1.6,21490.0,1375.2,Percentage of total population,3.4,4675.68,73066.0,2200.32
Total,Total,Malta,2015,1.3,Total,Age in completed years,18202.0,Total,Total,1.1,23000.0,1408.4,Percentage of total population,3.2,4506.88,73600.0,1549.2400000000002
Total,Total,Malta,2016,1.6,Total,Age in completed years,18116.0,Total,Total,1.4,23400.0,1450.2,Percentage of total population,2.9,4205.58,67860.0,2030.28
Total,Total,Malta,2017,1.4,Total,Age in completed years,22750.0,Total,Total,1.4,25710.0,1495.2,Percentage of total population,2.5,3738.0,64275.0,2093.2799999999997
Total,Total,Malta,2018,1.2,Total,Age in completed years,27394.0,Total,Total,1.7,26600.0,1548.3,Percentage of total population,2.5,3870.75,66500.0,2632.1099999999997
Total,Total,Malta,2019,1.3,Total,Age in completed years,29304.0,Total,Total,2.6,26570.0,1595.1,Percentage of total population,2.7,4306.77,71739.0,4147.26
Total,Total,Malta,2020,1.0,Total,Age in completed years,14751.0,Total,Total,2.8,25120.0,1610.4,Percentage of total population,3.2,5153.280000000001,80384.0,4509.12
Total,Total,Malta,2023,0.5,Total,Age in completed years,42239.0,Total,Total,6.0,30090.0,1766.0,Percentage of total population,2.5,4415.0,75225.0,10596.0
Total,Total,Netherlands,2014,0.6,Total,Age in completed years,145323.0,Total,Total,15.4,40600.0,500.9,Percentage of total population,6.1,3055.49,247660.0,7713.86
Total,Total,Netherlands,2015,1.0,Total,Age in completed years,166872.0,Total,Total,14.9,41270.0,503.1,Percentage of total population,5.7,2867.67,235239.0,7496.1900000000005
Total,Total,Netherlands,2016,1.4,Total,Age in completed years,189232.0,Total,Total,10.7,42050.0,498.1,Percentage of total population,5.1,2540.31,214454.99999999997,5329.67
Total,Total,Netherlands,2017,1.0,Total,Age in completed years,189646.0,Total,Total,9.4,42970.0,501.1,Percentage of total population,4.2,2104.6200000000003,180474.0,4710.34
Total,Total,Netherlands,2018,1.3,Total,Age in completed years,194306.0,Total,Total,9.4,43680.0,504.0,Percentage of total population,3.6,1814.4,157248.0,4737.6
Total,Total,Netherlands,2019,1.5,Total,Age in completed years,215756.0,Total,Total,9.9,44390.0,507.3,Percentage of total population,3.3,1674.09,146487.0,5022.27
Total,Total,Netherlands,2020,1.5,Total,Age in completed years,182244.0,Total,Total,8.3,42440.0,507.3,Percentage of total population,3.6,1826.28,152784.0,4210.59
Total,Total,Netherlands,2023,1.3,Total,Age in completed years,274597.0,Total,Total,9.3,45930.0,526.0,Percentage of total population,2.7,1420.2,124011.00000000001,4891.8
Total,Total,Austria,2014,3.7,Total,Age in completed years,116262.0,Total,Total,6.6,39520.0,103.7,Percentage of total population,4.0,414.8,158080.0,684.42
Total,Total,Austria,2015,4.3,Total,Age in completed years,166323.0,Total,Total,6.4,39640.0,104.9,Percentage of total population,4.1,430.09,162524.0,671.3600000000001
Total,Total,Austria,2016,4.2,Total,Age in completed years,129509.0,Total,Total,7.2,39970.0,106.0,Percentage of total population,4.4,466.40000000000003,175868.0,763.2
