rskpovth,age,sex,geo,year,overburden_rate
Total,Total,Total,Sweden,2006,9.6
Total,Total,Total,Sweden,2007,7.9
Total,Total,Total,Sweden,2008,10.0
Total,Total,Total,Sweden,2009,10.6
Total,Total,Total,Sweden,2010,7.8
Total,Total,Total,Sweden,2011,9.3
Total,Total,Total,Sweden,2012,8.7
Total,Total,Total,Sweden,2013,9.0
Total,Total,Total,Sweden,2014,8.6
Total,Total,Total,Sweden,2015,8.7
Total,Total,Total,Sweden,2016,8.5
Total,Total,Total,Sweden,2017,8.4
Total,Total,Total,Sweden,2018,8.3
Total,Total,Total,Sweden,2019,9.4
Total,Total,Total,Sweden,2020,8.3
Total,Total,Total,Sweden,2021,8.5
Total,Total,Total,Sweden,2022,9.1
Total,Total,Total,Sweden,2023,10.9
Total,Total,Total,Sweden,2024,10.6
Total,Total,Total,Sweden,2025,10.8
Total,Total,Total,Iceland,2004,10.3
Total,Total,Total,Iceland,2005,12.5
Total,Total,Total,Iceland,2006,14.3
Total,Total,Total,Iceland,2007,10.5
Total,Total,Total,Iceland,2008,11.4
Total,Total,Total,Iceland,2009,9.5
Total,Total,Total,Iceland,2010,9.6
Total,Total,Total,Iceland,2011,11.3
Total,Total,Total,Iceland,2012,9.0
Total,Total,Total,Iceland,2013,8.8
Total,Total,Total,Iceland,2014,8.1
Total,Total,Total,Iceland,2015,8.2
Total,Total,Total,Iceland,2016,6.3
Total,Total,Total,Iceland,2017,8.4
Total,Total,Total,Iceland,2018,8.9
Total,Total,Total,Iceland,2019,12.6
Total,Total,Total,Iceland,2020,13.1
Total,Total,Total,Norway,2004,8.2
Total,Total,Total,Norway,2005,4.3
Total,Total,Total,Norway,2006,10.8
Total,Total,Total,Norway,2007,12.9
Total,Total,Total,Norway,2008,12.5
Total,Total,Total,Norway,2009,10.9
Total,Total,Total,Norway,2010,9.1
Total,Total,Total,Norway,2011,10.4
Total,Total,Total,Norway,2012,9.7
Total,Total,Total,Norway,2013,9.6
Total,Total,Total,Norway,2014,8.2
Total,Total,Total,Norway,2015,9.4
Total,Total,Total,Norway,2016,9.7
Total,Total,Total,Norway,2017,9.3
Total,Total,Total,Norway,2018,10.6
Total,Total,Total,Norway,2019,10.5
Total,Total,Total,Norway,2020,9.4
Total,Total,Total,Norway,2021,10.9
Total,Total,Total,Norway,2022,12.4
